key	Station_Latitude	Station_Longitude
;1237ACENQRS	40.7560023043478	-73.9881876086957
;123FLM	40.7379779	-73.9978635
;1ABCD	40.7682815882353	-73.9817927647059
;1AC	40.8406491428571	-73.9398061428571
;1R	40.7026238181818	-74.0132985454545
;2345	40.688246	-73.980492
;2345ACJZ	40.710126	-74.0079237058823
;2345BDNQR	40.6839634	-73.9781972
;2345R	40.6930996666667	-73.9905065
;2345s	40.6706142	-73.9583538
;23ACE	40.7133725555556	-74.0091291111111
;4567S	40.752188875	-73.97782175
;456JZ	40.7131045555556	-74.0039687777778
;456LNQR	40.7350466666667	-73.9902865
;456NQR	40.7625747272727	-73.9677091818182
;6BDFM	40.7256575	-73.99530275
;6EM	40.7573016875	-73.9706665625
;6JNQRZ	40.7190934666667	-74.0009112
;7BDFM	40.75412175	-73.9839175
;7EFMR	40.7466695	-73.891345
;7EGM	40.7472115	-73.9451288
;ABCDEFM	40.732338	-74.000495
;ACEL	40.7406698	-74.0018676
;ACFR	40.6922827	-73.986852
;ACJLZ	40.678334	-73.905316
;BDFM	40.758663	-73.981329
;BDFMNQR	40.7496755714286	-73.9878592857143
;DFNQ	40.577422	-73.981233
;DN	40.62582	-73.9966782
;EFMR	40.721691	-73.844521
;FGR	40.6705595	-73.9890405
;FJMZ	40.7185123333333	-73.9878883333333
;GL	40.7132156666667	-73.951037
103rd St;1	40.799446	-73.968379
103rd St;6	40.7906	-73.947478
103rd St;7	40.749865	-73.8627
103rd St;BC	40.796092	-73.961454
104th St-102nd St;JZ	40.695178	-73.84433
110th St-Central Park North;23	40.799075	-73.951822
110th St;6	40.79502	-73.94425
111th St;7	40.75173	-73.855334
111th St;J	40.697418	-73.836345
116th St-Columbia University;1	40.807722	-73.96411
116th St;23	40.802098	-73.949625
116th St;6	40.798629	-73.941617
116th St;BC	40.805085	-73.954882
121st St;JZ	40.700492	-73.828294
125th St;1	40.815581	-73.958372
125th St;23	40.807754	-73.945495
125th St;456	40.804138	-73.937594
125th St;ABCD	40.811109	-73.952343
135th St;23	40.814229	-73.94077
135th St;BC	40.817894	-73.947649
137th St-City College;1	40.822008	-73.953676
138th St-3rd Ave;6	40.810476	-73.926138
138th St;45	40.813224	-73.929849
145th St;1	40.826551	-73.95036
145th St;3	40.820421	-73.936245
145th St;ABCD	40.824783	-73.944216
149th St-3rd Av;25	40.816109	-73.917757
149th St-Grand Concourse;245	40.818375	-73.927351
155th St;BD	40.830135	-73.938209
155th St;C	40.830518	-73.941514
157th St;1	40.834041	-73.94489
163rd St - Amsterdam Av;C	40.836013	-73.939892
167th St;4	40.835537	-73.9214
167th St;BD	40.833769	-73.918432
169th St;F	40.71047	-73.793604
170th St;4	40.840075	-73.917791
170th St;BD	40.839306	-73.9134
174-175th Sts;BD	40.8459	-73.910136
174th St;25	40.837288	-73.887734
175th St;A	40.847391	-73.939704
176th St;4	40.84848	-73.911794
181st St;1	40.849505	-73.933596
181st St;A	40.851695	-73.937969
182nd-183rd Sts;BD	40.856093	-73.900741
183rd St;4	40.858407	-73.903879
18th Av;D	40.607954	-74.001736
18th Av;F	40.629755	-73.976971
18th Av;N	40.620671	-73.990414
18th St;1	40.74104	-73.997871
190th St;A	40.859022	-73.93418
191st St;1	40.855225	-73.929412
1st Av;L	40.730953	-73.981628
207th St;1	40.864614	-73.918819
20th Av;D	40.604556	-73.998168
20th Av;N	40.61741	-73.985026
215th St;1	40.869444	-73.915279
219th St;2	40.883895	-73.862633
21st St;F	40.754203	-73.942836
21st St;G	40.744065	-73.949724
225th St;2	40.888022	-73.860341
231st St;1	40.878856	-73.904834
233rd St;2	40.893193	-73.857473
238th St-Nereid Av;2	40.898379	-73.854376
238th St;1	40.884667	-73.90087
23rd St;1	40.744081	-73.995657
23rd St;6	40.739864	-73.986599
23rd St;CE	40.745906	-73.998041
23rd St;FM	40.742878	-73.992821
23rd St;NR	40.741303	-73.989344
25th Av;D	40.597704	-73.986829
25th St;R	40.660397	-73.998091
28th St;1	40.747215	-73.993365
28th St;6	40.74307	-73.984264
28th St;NR	40.745494	-73.988691
2nd Av;F	40.723402	-73.989938
30 Av-Grand Av;NQ	40.766779	-73.921479
33rd St;6	40.746081	-73.982076
34th St;123	40.750373	-73.991057
34th St;ACE	40.752287	-73.993391
36 Av-Washington Av;NQ	40.756804	-73.929575
36th St;DNR	40.655144	-74.003549
36th St;MR	40.752039	-73.928781
39 Av-Beebe Av;NQ	40.752882	-73.932755
3rd Av;L	40.732849	-73.986122
45th St;R	40.648939	-74.010006
46th St;MR	40.756312	-73.913333
49th St;NQR	40.759901	-73.984139
50th St;1	40.761728	-73.983849
50th St;CE	40.762456	-73.985984
50th St;D	40.63626	-73.994791
53rd St;R	40.645069	-74.014034
55th St;D	40.631435	-73.995476
57th St;F	40.763972	-73.97745
57th St;NQR	40.764664	-73.980658
59th St;NR	40.641362	-74.017881
5th Av-53rd St;EM	40.760167	-73.975224
5th Av;NQR	40.764811	-73.973347
63rd Drive-Rego Park;MR	40.729846	-73.861604
65th St;MR	40.749669	-73.898453
66th St-Lincoln Center;1	40.77344	-73.982209
67th Av;MR	40.726523	-73.852719
68th St-Hunter College;6	40.768141	-73.96387
71st St;D	40.619589	-73.998864
72nd St;123	40.778453	-73.98197
72nd St;BC	40.775594	-73.97641
75th Av;EF	40.718331	-73.837324
77th St;6	40.77362	-73.959874
77th St;R	40.629742	-74.02551
79th St;1	40.783934	-73.979917
79th St;D	40.613501	-74.00061
7th Av;BDE	40.762862	-73.981637
7th Av;BQ	40.67705	-73.972367
7th Av;FG	40.666271	-73.980305
80th St-Hudson St;A	40.679371	-73.858992
81st St - Museum of Natural History;BC	40.781433	-73.972143
82nd St-Jackson Heights;7	40.747659	-73.883697
86th St;1	40.788644	-73.976218
86th St;456	40.779492	-73.955589
86th St;BC	40.785868	-73.968916
86th St;N	40.592721	-73.97823
86th St;R	40.622687	-74.028398
88th St-Boyd Av;A	40.679843	-73.85147
8th Av;N	40.635064	-74.011719
8th St;NR	40.730328	-73.992629
90th St Elmhurst;7	40.748408	-73.876613
95th St;R	40.616622	-74.030876
96th St;123	40.793919	-73.972323
96th St;6	40.785672	-73.95107
96th St;BC	40.791646	-73.964699
9th Av;D	40.646292	-73.994324
Alabama Av;J	40.676992	-73.898654
Allerton Av;2	40.865462	-73.867352
Aqueduct Racetrack;A	40.672131	-73.835812
Aqueduct-North Conduit Av;A	40.668234	-73.834058
Astor Place;6	40.730054	-73.99107
Astoria Blvd-Hoyt Av;NQ	40.770258	-73.917843
Atlantic Av;L	40.675345	-73.903097
Av H;Q	40.62927	-73.961639
Av I;F	40.625322	-73.976127
Av J;Q	40.625039	-73.960803
Av M;Q	40.617618	-73.959399
Av N;F	40.61514	-73.974197
Av P;F	40.608944	-73.973022
Av U;F	40.596063	-73.973357
Av U;N	40.597473	-73.979137
Av U;Q	40.5993	-73.955929
Av X;F	40.58962	-73.97425
Bay 50th St;D	40.588841	-73.983765
Bay Parkway-22nd Av;F	40.620769	-73.975264
Bay Parkway-22nd Av;N	40.611815	-73.981848
Bay Parkway;D	40.601875	-73.993728
Bay Ridge Av;R	40.634967	-74.023377
Baychester Av;5	40.878663	-73.838591
Beach 105th St;H	40.583209	-73.827559
Beach 25th St;A	40.600066	-73.761353
Beach 36th St;A	40.595398	-73.768175
Beach 44th St;A	40.592943	-73.776013
Beach 60th St;A	40.592374	-73.788522
Beach 67th St;A	40.590927	-73.796924
Beach 90th St;H	40.588034	-73.813641
Beach 98th St;H	40.585307	-73.820558
Bedford Av;L	40.717304	-73.956872
Bedford Park Blvd-Lehman College;4	40.873412	-73.890064
Bedford Park Blvd;BD	40.873244	-73.887138
Bedford-Nostrand Avs;G	40.689627	-73.953522
Bergen St;23	40.680829	-73.975098
Bergen St;FG	40.686145	-73.990862
Beverly Rd;25	40.645098	-73.948959
Beverly Rd;Q	40.644031	-73.964492
Bliss St-46th St;7	40.743132	-73.918435
Bowery;JZ	40.72028	-73.993915
Bowling Green;45	40.704817	-74.014065
Briarwood-Van Wyck Blvd;EF	40.709179	-73.820574
Brighton Beach;BQ	40.577621	-73.961376
Broad Channel;AH	40.608382	-73.815925
Broad St;JZ	40.706476	-74.011056
Broadway;G	40.706092	-73.950308
Broadway;NQ	40.76182	-73.925508
Bronx Park East;2	40.848828	-73.868457
Brook Av;6	40.807566	-73.91924
Buhre Av;6	40.84681	-73.832569
Burke Av;2	40.871356	-73.867164
Burnside Av;4	40.853453	-73.907684
Bushwick Av;L	40.682829	-73.905249
Canal St;1	40.722854	-74.006277
Canal St;ACE	40.720824	-74.005229
Canarsie - Rockaway Parkway;L	40.646654	-73.90185
Carroll St;FG	40.680303	-73.995048
Castle Hill Av;6	40.834255	-73.851222
Cathedral Parkway-110th St;1	40.803967	-73.966847
Cathedral Parkway-110th St;BC	40.800605	-73.958158
Central Av;M	40.697857	-73.927397
Chambers St;123	40.715478	-74.009266
Chauncey St;JZ	40.682893	-73.910456
Christopher St;1	40.733422	-74.002906
Church Av;25	40.650843	-73.949575
Church Av;BQ	40.650527	-73.962982
Church Av;FG	40.644041	-73.979678
City Hall;R	40.713282	-74.006978
Clark St;23	40.697466	-73.993086
Classon Av;G	40.688873	-73.96007
Cleveland St;J	40.679947	-73.884639
Clinton & Washington Avs;C	40.683263	-73.965838
Clinton-Washington Avs;G	40.688089	-73.966839
Cortelyou Rd;Q	40.640927	-73.963891
Cortlandt St;R	40.710668	-74.011029
Crescent St;JZ	40.683194	-73.873785
Cypress Av;6	40.805368	-73.914042
Cypress Hills;J	40.689941	-73.87255
DeKalb Av;BQR	40.690635	-73.981824
DeKalb Av;L	40.703811	-73.918425
Ditmars Blvd;NQ	40.775036	-73.912034
Ditmas Av;F	40.636119	-73.978172
Dyckman St-200th St;A	40.865491	-73.927271
Dyckman St;1	40.860531	-73.925536
East 105th St;L	40.650573	-73.899485
East 143rd St-St Mary's St;6	40.808719	-73.907657
East 149th St;6	40.812118	-73.904098
East 180th St;25	40.841894	-73.873488
East Broadway;F	40.713715	-73.990173
East Tremont Av-West Farms Sq;25	40.840295	-73.880049
Eastchester-Dyre Av;5	40.8883	-73.830834
Eastern Parkway-Brooklyn Museum;23	40.671987	-73.964375
Elder Av;6	40.828584	-73.879159
Elderts Lane-75th St;JZ	40.691324	-73.867139
Elmhurst Av;MR	40.742454	-73.882017
Euclid Av;AC	40.675377	-73.872106
Far Rockaway-Mott Av;A	40.603995	-73.755405
Fisk Av-69th St;7	40.746325	-73.896403
Flatbush Av-Brooklyn College;25	40.632836	-73.947642
Flushing Av;G	40.700377	-73.950234
Flushing Av;JM	40.70026	-73.941126
Flushing-Main St;7	40.7596	-73.83003
Fordham Rd;4	40.862803	-73.901034
Fordham Rd;BD	40.861296	-73.897749
Forest Av;M	40.704423	-73.903077
Forest Parkway-85th St;J	40.692435	-73.86001
Fort Hamilton Parkway;D	40.640914	-73.994304
Fort Hamilton Parkway;FG	40.650782	-73.975776
Fort Hamilton Parkway;N	40.631386	-74.005351
Franklin Av;Cs	40.680988	-73.9563375
Franklin St;1	40.719318	-74.006886
Freeman St;25	40.829993	-73.891865
Fresh Pond Rd;M	40.706186	-73.895877
Fulton St;G	40.687119	-73.975375
Gates Av;JZ	40.68963	-73.92227
Graham Av;L	40.714565	-73.944053
Grand Army Plaza;23	40.675235	-73.971046
Grand Av-Newtown;MR	40.737015	-73.877223
Grand St;BD	40.718267	-73.993753
Grand St;L	40.711926	-73.94067
Grant Av;A	40.677044	-73.86505
Greenpoint Av;G	40.731352	-73.954449
Gun Hill Rd;2	40.87785	-73.866256
Gun Hill Rd;5	40.869526	-73.846384
Halsey St;J	40.68637	-73.916559
Halsey St;L	40.695602	-73.904084
Harlem-148th St;3	40.82388	-73.93647
Hewes St;JM	40.70687	-73.953431
High St;AC	40.699337	-73.990531
Houston St;1	40.728251	-74.005367
Howard Beach;A	40.660476	-73.830301
Hoyt & Schermerhorn;ACG	40.688484	-73.985001
Hoyt St;23	40.690545	-73.985065
Hunters Point;7	40.742216	-73.948916
Hunts Point Av;6	40.820948	-73.890549
Intervale Av;25	40.822181	-73.896736
Inwood - 207th St;A	40.868072	-73.919899
Jackson Av;25	40.81649	-73.907807
Jamaica-179th St;F	40.712646	-73.783817
Jamaica-Van Wyck;E	40.702566	-73.816859
Jefferson St;L	40.706607	-73.922913
Junction Blvd;7	40.749145	-73.869527
Junius St;3	40.663515	-73.902447
Kew Gardens-Union Turnpike;EF	40.714441	-73.831008
Kings Highway;BQ	40.60867	-73.957734
Kings Highway;F	40.603217	-73.972361
Kings Highway;N	40.603923	-73.980353
Kingsbridge Rd;4	40.86776	-73.897174
Kingsbridge Rd;BD	40.866978	-73.893509
Kingston Av;3	40.669399	-73.942161
Kingston-Throop;C	40.679921	-73.940858
Knickerbocker Av;M	40.698664	-73.919711
Kosciusko St;J	40.693342	-73.928814
Lafayette Av;C	40.686113	-73.973946
Lexington Av;F	40.764627	-73.96611
Liberty Av;C	40.674542	-73.896548
Lincoln Av-52nd St;7	40.744149	-73.912549
Livonia Av;L	40.664038	-73.900571
Longwood Av;6	40.816104	-73.896435
Lorimer St;JM	40.703869	-73.947408
